start	end	text
0	27000	We're not strangers to love You know the rules and so do I
27000	35000	Have no commitments while I'm thinking of You wouldn't get this from any other guy
35000	43000	I just wanna tell you how I'm feeling Gotta make you understand
43000	47000	Never gonna give you up Never gonna let you down
47000	53000	Never gonna run around and desert you Never gonna make you cry
53000	60000	Never gonna say goodbye Never gonna tell a lie and hurt you
60000	69000	We've known each other for so long Your heart's been aching but you're too shy to say it
69000	77000	It's like we both know what's been going on We know the game and we're gonna play it
77000	85000	And if you ask me how I'm feeling Don't tell me you're too much to see
85000	89000	Never gonna give you up Never gonna let you down
89000	95000	Never gonna run around and desert you Never gonna make you cry
95000	102000	Never gonna say goodbye Never gonna tell a lie and hurt you
102000	106000	Never gonna give you up Never gonna let you down
106000	112000	Never gonna run around and desert you Never gonna make you cry
112000	119000	Never gonna say goodbye Never gonna tell a lie and hurt you
119000	136000	Never gonna give you up Never gonna give you up
136000	145000	We've known each other for so long Your heart's been aching but you're too shy to say it
145000	153000	It's like we both know what's been going on We know the game and we're gonna play it
153000	161000	I just wanna tell you how I'm feeling Gotta make you understand
161000	165000	Never gonna give you up Never gonna let you down
165000	171000	Never gonna run around and desert you Never gonna make you cry
171000	178000	Never gonna say goodbye Never gonna tell a lie and hurt you
178000	182000	Never gonna give you up Never gonna let you down
182000	188000	Never gonna run around and desert you Never gonna make you cry
188000	195000	Never gonna say goodbye Never gonna tell a lie and hurt you
195000	199000	Never gonna give you up Never gonna let you down
199000	205000	Never gonna run around and desert you Never gonna make you cry
205000	211000	Never gonna say goodbye Never gonna tell a lie and hurt you
